Carrier,Observation Date,Observation Time,Origin,Destination,Is One Way,Outbound Flight No,Outbound Departure Date,Outbound Arrival Date,Price Excluding Tax,Tax,Currency,Aircraft Code,Aircraft Name,Transfer IATA,Transfer Duration
S7,2024-08-09,08:01:21,AER,GOJ,true,S7 5114,2024-08-10T18:00:00,2024-08-11T20:00:00,35680.00,1490.00,RUB,32A,Airbus A320,OVB,1060
S7,2024-08-09,08:01:21,AER,GOJ,true,S7 5106,2024-08-10T16:50:00,2024-08-11T20:00:00,35680.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:21,AER,GOJ,true,S7 5108,2024-08-10T14:55:00,2024-08-11T20:00:00,35680.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:21,AER,GOJ,true,S7 5110,2024-08-10T11:55:00,2024-08-11T20:00:00,38465.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:21,AER,GOJ,true,S7 5104,2024-08-10T13:25:00,2024-08-11T20:00:00,49985.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:22,AER,GOJ,true,S7 5114,2024-08-10T18:00:00,2024-08-11T20:00:00,35680.00,1490.00,RUB,32A,Airbus A320,OVB,1060
S7,2024-08-09,08:01:22,AER,GOJ,true,S7 5106,2024-08-10T16:50:00,2024-08-11T20:00:00,35680.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:22,AER,GOJ,true,S7 5108,2024-08-10T14:55:00,2024-08-11T20:00:00,35680.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:22,AER,GOJ,true,S7 5110,2024-08-10T11:55:00,2024-08-11T20:00:00,38465.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:22,AER,GOJ,true,S7 5104,2024-08-10T13:25:00,2024-08-11T20:00:00,49985.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:23,AER,GOJ,true,S7 5112,2024-08-11T04:50:00,2024-08-11T20:00:00,35680.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:24,AER,GOJ,true,S7 5106,2024-08-12T16:50:00,2024-08-13T20:00:00,41760.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:24,AER,GOJ,true,S7 5108,2024-08-12T14:55:00,2024-08-13T20:00:00,41760.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:24,AER,GOJ,true,S7 5104,2024-08-12T13:25:00,2024-08-13T20:00:00,41760.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:24,AER,GOJ,true,S7 5110,2024-08-12T11:55:00,2024-08-13T20:00:00,41760.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:24,AER,GOJ,true,S7 5114,2024-08-12T18:00:00,2024-08-13T20:00:00,45005.00,1490.00,RUB,32A,Airbus A320,OVB,1060
S7,2024-08-09,08:01:25,AER,GOJ,true,S7 5112,2024-08-13T04:50:00,2024-08-13T20:00:00,41760.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:27,AER,GOJ,true,S7 5106,2024-08-14T16:50:00,2024-08-15T20:00:00,58485.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:27,AER,GOJ,true,S7 5108,2024-08-14T14:55:00,2024-08-15T20:00:00,58485.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:27,AER,GOJ,true,S7 5104,2024-08-14T13:25:00,2024-08-15T20:00:00,58485.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:27,AER,GOJ,true,S7 5110,2024-08-14T11:55:00,2024-08-15T20:00:00,64575.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:28,AER,GOJ,true,S7 5112,2024-08-15T04:50:00,2024-08-15T20:00:00,45005.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:28,AER,GOJ,true,S7 5112,2024-08-15T04:50:00,2024-08-15T20:00:00,45005.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:29,AER,GOJ,true,S7 5114,2024-08-17T18:00:00,2024-08-18T20:00:00,48820.00,1490.00,RUB,32A,Airbus A320,OVB,1060
S7,2024-08-09,08:01:29,AER,GOJ,true,S7 5108,2024-08-17T14:55:00,2024-08-18T20:00:00,48820.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:29,AER,GOJ,true,S7 5110,2024-08-17T11:55:00,2024-08-18T20:00:00,48820.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:29,AER,GOJ,true,S7 5106,2024-08-17T16:50:00,2024-08-18T20:00:00,53280.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:29,AER,GOJ,true,S7 5104,2024-08-17T13:25:00,2024-08-18T20:00:00,53280.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:30,AER,GOJ,true,S7 5112,2024-08-18T04:50:00,2024-08-18T20:00:00,48820.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:32,AER,GOJ,true,S7 5114,2024-08-19T18:00:00,2024-08-20T20:00:00,52675.00,1490.00,RUB,32N,Airbus A320 Neo,OVB,1060
S7,2024-08-09,08:01:32,AER,GOJ,true,S7 5108,2024-08-19T14:55:00,2024-08-20T20:00:00,52675.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:32,AER,GOJ,true,S7 5104,2024-08-19T13:25:00,2024-08-20T20:00:00,52675.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:32,AER,GOJ,true,S7 5106,2024-08-19T16:50:00,2024-08-20T20:00:00,57135.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:32,AER,GOJ,true,S7 5110,2024-08-19T11:55:00,2024-08-20T20:00:00,57135.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:32,AER,GOJ,true,S7 5112,2024-08-20T04:50:00,2024-08-20T20:00:00,57135.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5114,2024-08-21T18:00:00,2024-08-22T20:00:00,52675.00,1490.00,RUB,32N,Airbus A320 Neo,OVB,1060
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5110,2024-08-21T11:55:00,2024-08-22T20:00:00,57135.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5108,2024-08-21T14:55:00,2024-08-22T20:00:00,62340.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5106,2024-08-21T16:50:00,2024-08-22T20:00:00,68430.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
