Carrier,Observation Date,Observation Time,Origin,Destination,Is One Way,Outbound Flight No,Outbound Departure Date,Outbound Arrival Date,Price Excluding Tax,Tax,Currency,Aircraft Code,Aircraft Name,Transfer IATA,Transfer Duration
S7,2024-08-09,08:01:20,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T15:55:00,38465.00,1490.00,RUB,E70,Embraer 170,OVB,635
S7,2024-08-09,08:01:20,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T14:00:00,41710.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:20,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T11:00:00,64155.00,1490.00,RUB,E70,Embraer 170,OVB,340
S7,2024-08-09,08:01:20,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T12:25:00,64155.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:21,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T15:55:00,38465.00,1490.00,RUB,E70,Embraer 170,OVB,635
S7,2024-08-09,08:01:21,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T14:00:00,41710.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:21,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T11:00:00,64155.00,1490.00,RUB,E70,Embraer 170,OVB,340
S7,2024-08-09,08:01:21,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T12:25:00,64155.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:22,GOJ,AER,true,S7 5054,2024-08-11T20:45:00,2024-08-12T12:25:00,61360.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:22,GOJ,AER,true,S7 5054,2024-08-11T20:45:00,2024-08-12T15:55:00,61360.00,1490.00,RUB,E70,Embraer 170,OVB,635
S7,2024-08-09,08:01:22,GOJ,AER,true,S7 5054,2024-08-11T20:45:00,2024-08-12T14:00:00,71485.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:24,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T15:55:00,38465.00,1490.00,RUB,E70,Embraer 170,OVB,635
S7,2024-08-09,08:01:24,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T14:00:00,41710.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:24,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T11:00:00,64155.00,1490.00,RUB,E70,Embraer 170,OVB,340
S7,2024-08-09,08:01:24,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T12:25:00,64155.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:25,GOJ,AER,true,S7 5054,2024-08-13T20:45:00,2024-08-14T15:55:00,38465.00,1490.00,RUB,E70,Embraer 170,OVB,635
