Carrier,Observation Date,Observation Time,Origin,Destination,Is One Way,Outbound Flight No,Outbound Departure Date,Outbound Arrival Date,Price Excluding Tax,Tax,Currency,Aircraft Code,Aircraft Name,Transfer IATA,Transfer Duration
S7,2024-08-09,08:00:14,MMK,DME,true,S7 1230,2024-08-10T15:50:00,2024-08-10T18:25:00,6740.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:15,MMK,DME,true,S7 1230,2024-08-10T15:50:00,2024-08-10T18:25:00,6740.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:15,MMK,DME,true,S7 1230,2024-08-11T15:50:00,2024-08-11T18:25:00,6740.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:16,MMK,DME,true,S7 1230,2024-08-12T15:50:00,2024-08-12T18:25:00,7495.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:17,MMK,DME,true,S7 1230,2024-08-13T15:50:00,2024-08-13T18:25:00,6740.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:17,MMK,DME,true,S7 1230,2024-08-14T15:50:00,2024-08-14T18:25:00,7495.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:18,MMK,DME,true,S7 1230,2024-08-15T15:50:00,2024-08-15T18:25:00,10270.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:20,MMK,DME,true,S7 1230,2024-08-16T15:50:00,2024-08-16T18:25:00,8770.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:20,MMK,DME,true,S7 1230,2024-08-17T15:50:00,2024-08-17T18:25:00,12000.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:21,MMK,DME,true,S7 1230,2024-08-18T15:50:00,2024-08-18T18:25:00,14045.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:22,MMK,DME,true,S7 1230,2024-08-19T15:50:00,2024-08-19T18:25:00,14045.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:22,MMK,DME,true,S7 1230,2024-08-20T15:50:00,2024-08-20T18:25:00,6740.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:23,MMK,DME,true,S7 1230,2024-08-21T15:50:00,2024-08-21T18:25:00,4360.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:24,MMK,DME,true,S7 1230,2024-08-22T15:50:00,2024-08-22T18:25:00,4360.00,642.00,RUB,73H,Boeing 737-800,-,0
