Carrier,Observation Date,Observation Time,Origin,Destination,Is One Way,Outbound Flight No,Outbound Departure Date,Outbound Arrival Date,Price Excluding Tax,Tax,Currency,Aircraft Code,Aircraft Name,Transfer IATA,Transfer Duration
S7,2024-08-09,08:00:15,DME,MMK,true,S7 1229,2024-08-11T12:15:00,2024-08-11T14:55:00,10270.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:15,DME,MMK,true,S7 1229,2024-08-11T12:15:00,2024-08-11T14:55:00,10270.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:16,DME,MMK,true,S7 1229,2024-08-11T12:15:00,2024-08-11T14:55:00,10270.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:16,DME,MMK,true,S7 1229,2024-08-12T12:15:00,2024-08-12T14:55:00,10270.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:17,DME,MMK,true,S7 1229,2024-08-13T12:15:00,2024-08-13T14:55:00,10270.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:17,DME,MMK,true,S7 1229,2024-08-14T12:15:00,2024-08-14T14:55:00,14045.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:18,DME,MMK,true,S7 1229,2024-08-15T12:15:00,2024-08-15T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:20,DME,MMK,true,S7 1229,2024-08-16T12:15:00,2024-08-16T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:21,DME,MMK,true,S7 1229,2024-08-17T12:15:00,2024-08-17T14:55:00,12000.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:21,DME,MMK,true,S7 1229,2024-08-18T12:15:00,2024-08-18T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:22,DME,MMK,true,S7 1229,2024-08-19T12:15:00,2024-08-19T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:23,DME,MMK,true,S7 1229,2024-08-20T12:15:00,2024-08-20T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:23,DME,MMK,true,S7 1229,2024-08-21T12:15:00,2024-08-21T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:24,DME,MMK,true,S7 1229,2024-08-22T12:15:00,2024-08-22T14:55:00,19225.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:24,DME,MMK,true,S7 1229,2024-08-23T12:15:00,2024-08-23T14:55:00,14045.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:25,DME,MMK,true,S7 1229,2024-08-24T12:15:00,2024-08-24T14:55:00,19225.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:26,DME,MMK,true,S7 1229,2024-08-25T12:15:00,2024-08-25T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:26,DME,MMK,true,S7 1229,2024-08-26T12:15:00,2024-08-26T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:27,DME,MMK,true,S7 1229,2024-08-27T12:15:00,2024-08-27T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:27,DME,MMK,true,S7 1229,2024-08-28T12:15:00,2024-08-28T14:55:00,19225.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:28,DME,MMK,true,S7 1229,2024-08-29T12:15:00,2024-08-29T14:55:00,19225.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:28,DME,MMK,true,S7 1229,2024-08-30T12:15:00,2024-08-30T14:55:00,26325.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:30,DME,MMK,true,S7 1229,2024-08-31T12:15:00,2024-08-31T14:55:00,22505.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:31,DME,MMK,true,S7 1229,2024-09-01T12:15:00,2024-09-01T14:55:00,19225.00,642.00,RUB,32A,Airbus A320,-,0
S7,2024-08-09,08:00:31,DME,MMK,true,S7 1229,2024-09-02T12:15:00,2024-09-02T14:55:00,16425.00,642.00,RUB,73H,Boeing 737-800,-,0
S7,2024-08-09,08:00:32,DME,MMK,true,S7 1229,2024-09-03T12:15:00,2024-09-03T14:55:00,14045.00,642.00,RUB,73H,Boeing 737-800,-,0
